Bachelor Vegas,Ambience,911
Bachelor Vegas,Alcohol,391
Bachelor Vegas,Service,124
Bachelor Vegas,Others,230
XS Nightclub,Ambience,1189
XS Nightclub,Alcohol,646
XS Nightclub,Service,245
XS Nightclub,Others,228
Tryst Nightclub,Ambience,257
Tryst Nightclub,Alcohol,397
Tryst Nightclub,Service,162
Tryst Nightclub,Others,154
Spearmint Rhino Las Vegas,Ambience,89
Spearmint Rhino Las Vegas,Alcohol,324
Spearmint Rhino Las Vegas,Service,80
Spearmint Rhino Las Vegas,Others,120
Ghostbar,Ambience,99
Ghostbar,Alcohol,213
Ghostbar,Service,490
Ghostbar,Others,78
